TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-15,2026-07-15,CM,NSE,STK,29124,INE785M01021,PCJEWELLER,EQ,,,,,PC JEWELLER LTD,10.02,10.85,9.85,10.57,10.61,9.86,,10.57,,,937979234,9860159617.08,429586,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,14366,INE669E01016,IDEA,EQ,,,,,VODAFONE IDEA LIMITED,13.9,14.05,13.51,13.67,13.79,13.83,,13.67,,,323250383,4437915989.66,418953,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,759806,INE0HOQ01053,GROWW,EQ,,,,,BILLIONBRAINS GARAGE VN L,205.0,219.62,201.67,216.33,216.95,203.79,,216.33,,,153577738,32649642067.82,628489,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,24777,INE0LXG01040,OLAELEC,EQ,,,,,OLA ELECTRIC MOBILITY LTD,39.67,41.75,39.43,40.65,40.72,39.47,,40.65,,,91849006,3753399183.49,148427,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,17029,INE619A01035,PATANJALI,EQ,,,,,PATANJALI FOODS LIMITED,407.5,408.75,328.2,347.9,347.5,407.55,,347.95,,,81422871,28578838967.55,556745,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,2955,INE303R01014,KALYANKJIL,EQ,,,,,KALYAN JEWELLERS IND LTD,534.0,551.0,518.3,548.1,544.6,529.75,,548.15,,,63633358,34283217165.65,437085,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,10753,INE692A01016,UNIONBANK,EQ,,,,,UNION BANK OF INDIA,171.21,177.49,168.7,172.38,172.3,170.67,,172.38,,,60853488,10577875818.62,205063,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,5426,INE118D01016,NUVOCO,EQ,,,,,NUVOCO VISTAS CORP LTD,348.85,398.0,348.85,377.25,376.4,341.4,,377.25,,,50549487,19321811884.0,463666,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,750368,INE704J01044,VOGL,EQ,,,,,VEDANTA OIL AND GAS LTD,38.0,38.59,36.5,36.69,36.65,37.82,,36.69,,,48608395,1807546764.27,105546,F1,1,,,,,
2026-07-15,2026-07-15,CM,NSE,STK,1476,INE008A01015,IDBI,EQ,,,,,IDBI BANK LIMITED,87.5,89.94,85.52,86.23,85.95,86.54,,86.23,,,47957138,4214327786.92,119898,F1,1,,,,,
