TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-29,2026-06-29,CM,NSE,STK,14366,INE669E01016,IDEA,EQ,,,,,VODAFONE IDEA LIMITED,14.1,14.51,13.83,14.43,14.38,14.06,,14.43,,,1039440837,14843241542.68,1288171,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,11915,INE528G01035,YESBANK,EQ,,,,,YES BANK LIMITED,24.87,25.38,24.82,25.09,25.08,24.87,,25.09,,,183936840,4632651686.57,117094,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,10794,INE476A01022,CANBK,EQ,,,,,CANARA BANK,128.86,129.59,125.38,125.86,126.35,128.95,,125.86,,,89710392,11332243322.19,205247,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,17400,INE848E01016,NHPC,EQ,,,,,NHPC LTD,78.52,82.1,78.44,81.57,81.61,79.4,,81.57,,,85760641,6940539961.99,127083,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,4204,INE775A01035,MOTHERSON,EQ,,,,,SAMVRDHNA MTHRSN INTL LTD,151.71,154.0,147.72,150.56,149.0,151.71,,150.57,,,74600161,11234211599.39,175168,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,17388,INE814H01029,ADANIPOWER,EQ,,,,,ADANI POWER LTD,228.12,228.6,224.53,227.05,225.65,229.27,,227.05,,,72715673,16493428192.9,206580,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,11794,INE667G01023,SAKSOFT,EQ,,,,,SAKSOFT LIMITED,163.75,189.9,162.45,183.77,185.0,160.45,,183.79,,,71487865,12670205079.94,354434,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,13528,INE776C01039,GMRAIRPORT,EQ,,,,,GMR AIRPORTS LIMITED,108.44,111.59,108.44,109.42,109.85,108.44,,109.42,,,70291664,7713062802.79,162320,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,12018,INE040H01021,SUZLON,EQ,,,,,SUZLON ENERGY LIMITED,58.0,58.0,56.93,57.21,57.4,57.14,,57.21,,,68862375,3943675503.68,108945,F1,1,,,,,
2026-06-29,2026-06-29,CM,NSE,STK,3499,INE081A01020,TATASTEEL,EQ,,,,,TATA STEEL LIMITED,188.73,191.27,188.6,189.57,189.9,188.71,,189.57,,,62549132,11870289687.52,347984,F1,1,,,,,
